user_id,movie_id,rating,timestamp,title,genres,gender
1,1,5,1147880044,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,classic
1,2,3.5,1147868817,Jumanji (1995),Adventure|Children|Fantasy,sci-fi
1,3,5,1147868828,Grumpier Old Men (1995),Comedy|Romance,dark comedy
1,4,5,1147878820,Waiting to Exhale (1995),Comedy|Drama|Romance,great dialogue
1,5,3.5,1147868510,Father of the Bride Part II (1995),Comedy,so bad it's good
1,6,4,1147868495,Heat (1995),Action|Crime|Thriller,unreliable narrators
1,7,3.5,1147868826,Sabrina (1995),Comedy|Romance,tense
1,8,3.5,1147878326,Tom and Huck (1995),Adventure|Children,artificial intelligence
1,9,5,1147868839,Sudden Death (1995),Action,philosophical
1,10,4,1147868414,GoldenEye (1995),Action|Adventure|Thriller,tense
1,11,3.5,1147877857,"American President, The (1995)",Comedy|Drama|Romance,so bad it's good
1,12,4,1147868097,Dracula: Dead and Loving It (1995),Comedy|Horror,cliche
1,13,2.5,1147868079,Balto (1995),Adventure|Animation|Children,musical
1,14,2.5,1147868068,Nixon (1995),Drama,horror
1,15,2.5,1147869044,Cutthroat Island (1995),Action|Adventure|Romance,unpredictable
1,16,3.5,1147868609,Casino (1995),Crime|Drama,Oscar (Best Supporting Actress)
1,17,4.5,1147877957,Sense and Sensibility (1995),Drama|Romance,adventure
1,18,4,1147878923,Four Rooms (1995),Comedy,anime
1,19,5,1147878248,Ace Ventura: When Nature Calls (1995),Comedy,ecology
1,20,5,1147869100,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,fantasy
1,21,4.5,1147868891,Get Shorty (1995),Comedy|Crime|Thriller,Hayao Miyazaki
1,22,4,1147868480,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Miyazaki
1,23,5,1147879603,Assassins (1995),Action|Crime|Thriller,post-apocalyptic
1,24,5,1147868678,Powder (1995),Drama|Sci-Fi,bah
1,25,5,1147868898,Leaving Las Vegas (1995),Drama|Romance,Clint Eastwood
1,26,3,1147868534,Othello (1995),Drama,music
1,27,5,1147878122,Now and Then (1995),Children|Drama,art
1,28,3,1147869048,Persuasion (1995),Drama|Romance,contemporary art
1,29,4,1147869223,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,documentary
1,30,4.5,1147869080,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,aliens
1,31,4,1147877654,Dangerous Minds (1995),Drama,amazing photography
1,32,0.5,1147879571,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Director: James Cameron
1,33,2,1147879797,Wings of Courage (1995),Adventure|Romance|IMAX,first contact
1,34,5,1147878729,Babe (1995),Children|Drama,James Cameron
1,35,4,1147868807,Carrington (1995),Drama|Romance,Michael Biehn
1,36,3,1147878698,Dead Man Walking (1995),Crime|Drama,sci-fi
1,37,4,1147868053,Across the Sea of Time (1995),Documentary|IMAX,android(s)/cyborg(s)
1,38,5,1147869090,It Takes Two (1995),Children|Comedy,apocalypse
1,39,4.5,1147869191,Clueless (1995),Comedy|Romance,Arnold Schwarzenegger
1,40,4,1147868469,"Cry, the Beloved Country (1995)",Drama,artificial intelligence
1,41,3.5,1147868461,Richard III (1995),Drama|War,franchise
1,42,5,1147868622,Dead Presidents (1995),Action|Crime|Drama,terminator
1,43,3.5,1147869150,Restoration (1995),Drama,time travel
1,44,4,1147877986,Mortal Kombat (1995),Action|Adventure|Fantasy,James Cameron
1,45,4.5,1147868869,To Die For (1995),Comedy|Drama|Thriller,sci-fi
1,46,2,1147879850,How to Make an American Quilt (1995),Drama|Romance,science fiction
1,47,3.5,1147869119,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,sci-fi
1,48,3.5,1147868855,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,inferior sequel
1,49,5,1147880055,When Night Is Falling (1995),Drama|Romance,setting:London (UK) (future)
1,50,4,1147869033,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,unoriginal
1,51,2.5,1147878050,Guardian Angel (1994),Action|Drama|Thriller,bad science
1,52,3,1147878055,Mighty Aphrodite (1995),Comedy|Drama|Romance,good science
1,53,2.5,1147878063,Lamerica (1994),Adventure|Drama,Hans Zimmer
1,54,2.5,1147869183,"Big Green, The (1995)",Children|Comedy,philosophical issues
1,55,4.5,1147877967,Georgia (1995),Drama,sci-fi
1,56,3.5,1147869155,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,science fiction
1,57,5,1147868865,Home for the Holidays (1995),Drama,space
1,58,5,1147879375,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,space travel
1,59,4,1147868682,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,time-travel
1,60,3.5,1147878095,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,visually appealing
1,61,1,1147878023,Eye for an Eye (1996),Drama|Thriller,bittersweet
1,62,3.5,1147878452,Mr. Holland's Opus (1995),Drama,boring
1,63,4,1147877853,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,conversation
